AccountNumber,Name,NumberOfEmployees,NumberOfLocations__c,Phone,SLA__c,SLASerialNumber__c,Account_Number_External_ID__c,IsActive,CreatedDate,AmountPaid
211,Garey,78,12,110-538-3805,gold,063107393,111766cb-8413-4e8f-8c6f-6b144dc4c37a,false,11/21/2024,34.73
212,Bobbe,90,49,282-854-8323,platinum,075903226,347edd44-7458-4406-b4d3-a82a613072aa,false,12/11/2024,28.82
213,Celie,50,97,990-800-7563,gold,261170494,34cb54c9-a60d-4fa6-bba4-9128f002dc09,true,11/10/2024,63.86
214,Jennica,80,45,837-787-5772,silver,031307866,680d1eaf-c630-4cdf-8fbb-d6380f85a786,true,7/3/2025,45.11
215,Giuditta,21,96,324-453-9762,gold,071924005,142d2321-56f5-4aac-8a3e-6165cd2a9adc,true,7/19/2025,91.05
216,Nikki,69,7,971-191-4822,bronze,073907952,98aa320a-a320-42fd-b6b4-3dfa90ecf77a,true,4/1/2025,28.78
217,Leonhard,10,26,284-552-4335,gold,111101157,2a6ad426-9629-41ec-9ed4-38f319453886,false,11/26/2024,88.62
218,Bidget,27,17,636-911-5564,platinum,121000044,9304527a-b6ce-42e8-a039-24a7790b72da,true,4/23/2025,70.26
219,Ortensia,91,80,875-754-4955,silver,073907127,bb3ffb97-adf0-4484-b09b-743611c1dccc,true,8/28/2024,40.68
220,Lindsay,88,11,212-663-3211,platinum,072403554,4c1b81b5-fbeb-4d29-859d-7f6d55d85525,true,12/12/2024,3.83
221,Paulie,27,45,807-214-3669,bronze,061103852,f5a14252-21fa-4e06-9f9d-d1d85b5a115b,false,8/15/2024,21.95
222,Dun,9,43,741-876-7737,platinum,322271096,9a7161da-4b72-4634-8452-e4a9053538b2,false,7/22/2025,40.28
223,Maressa,84,65,630-461-0973,gold,114904775,9a181a88-8463-45b5-bfb7-07c60f84aae3,true,12/9/2024,37.93
224,Shir,7,100,872-864-6773,bronze,107006677,73086677-da98-4604-b9c2-44b00f0be4de,false,11/18/2024,74.97
225,Gigi,64,12,641-571-9540,silver,071025661,9d88aa0f-2339-4134-8602-3ab9837fcb17,false,1/2/2025,42.79
226,Avis,46,27,608-124-0171,gold,121122676,b4c920ed-0aa6-42dc-9035-9502db33e559,true,11/24/2024,91.27
227,Ben,89,100,710-635-6655,gold,252070435,cd5441b5-2378-4d40-996b-227871fb6311,false,8/16/2024,64.42
228,Westbrooke,3,33,919-568-6157,silver,011401957,f1dd060e-910f-4892-a44e-f9a0c3cd58b8,true,12/17/2024,43.8
229,Joni,25,29,590-478-8906,gold,125108065,0df138a9-2630-450b-8cb6-49314eb6756a,true,9/25/2024,5.03
230,Prince,49,41,210-224-1123,platinum,112200303,9b5a8ee4-d917-422a-82a5-6ca3f8b531b3,true,6/8/2025,76.77
231,Madel,26,2,270-146-1969,silver,011304517,c5c6cd01-28b2-49fc-a19d-77888368f9c6,false,12/8/2024,19.59
232,Tiffani,37,2,492-237-0609,bronze,107001960,7c093d34-47df-490c-b0f4-db48eb99cb35,true,6/18/2025,12.0
233,Ashbey,92,94,235-975-5543,platinum,082901091,8218576b-db7b-45e5-83ef-71c7b353933d,false,8/8/2025,10.52
234,Clerkclaude,8,3,197-930-7375,silver,082904166,802d0500-87f7-4e62-9e9d-40fd48dab24d,true,1/11/2025,50.85
235,Ingram,27,86,181-980-5573,platinum,231375290,15123df5-034b-4f4c-9c3d-b562bff07950,true,8/20/2024,93.05
236,Alayne,25,51,437-580-4111,silver,321070007,8a0ce405-0ea6-46a5-95c3-a44522b90cc0,true,5/23/2025,34.86
237,Pierette,13,67,455-896-9031,gold,027000407,c8c5c8ff-5ab4-4d5f-8426-e04815207e67,false,2/15/2025,38.22
238,Selby,36,75,204-747-4384,bronze,053112453,96ca7bbc-c194-4a61-8564-524b293b90e1,true,9/7/2024,5.48
239,Denni,37,89,885-477-1074,bronze,112025342,b8dd5e03-0145-445b-938e-c4ca6e558a1d,true,9/5/2024,81.87
240,Auroora,2,74,193-956-9077,silver,241270039,79cc83a9-7749-4932-a77b-3845b6c47fe0,false,8/4/2025,90.45
241,Arty,46,14,149-947-3327,gold,071923226,4b01b306-5cd3-46de-b692-b7c9abcab42d,false,12/22/2024,44.0
242,Leshia,46,55,318-431-3095,bronze,022000020,d99bfdaf-f246-4055-b520-51b95b69393b,true,11/28/2024,38.27
243,Briant,29,90,264-919-3620,bronze,073921132,1b247ae2-587d-4411-a0b1-6a568c7adb81,true,8/10/2025,39.28
244,Ransom,81,60,405-533-6860,bronze,221370616,2083bc24-4666-4284-8b8f-36643ac0b7dd,true,11/19/2024,18.34
245,Timi,56,70,608-535-2777,silver,273970585,6899d61d-ed1f-4b49-857f-d3cdb038b774,true,3/31/2025,88.62
246,Engelbert,59,45,187-305-5697,bronze,104901034,11218752-52f6-4ace-a989-c557b71b628a,true,2/25/2025,59.05
247,Kinna,72,60,371-506-6942,silver,052000016,5ab8aa14-8fe6-477c-817a-27d2722c13b3,true,2/13/2025,72.37
248,Marilyn,34,97,748-695-0061,gold,082001881,41cf5ae4-5fff-4e93-b467-c4caf41ac9d3,false,4/24/2025,97.99
249,Jermaine,2,82,279-743-8915,gold,061092387,f1e66c12-749c-4026-83e0-ff772f73fbc5,false,7/22/2025,36.81
250,Ludwig,72,36,785-251-2944,bronze,084202248,dda15c68-7480-425c-a79c-517b75e86537,false,9/6/2024,69.43
251,Andreana,99,61,622-581-3491,gold,271070801,21d34a96-6c8f-482d-8eaf-70c6cdd12211,false,9/20/2024,19.67
252,Cecily,10,69,423-293-3706,gold,061101294,37b3479a-7a2d-4f89-88f4-7ab274ebdd10,false,4/4/2025,55.95
253,Fredrick,76,86,525-564-1477,gold,103112617,90684802-d184-4b7b-a6b6-8c6d455a224a,true,9/13/2024,74.53
254,Anderson,70,75,285-501-3422,bronze,101114552,ca5b54e5-5009-4da7-9634-9b4d1f4b7812,true,4/28/2025,67.88
255,Robinia,11,58,816-589-6602,bronze,071904371,4c745238-f807-4511-a8e9-93d731e491b0,false,2/9/2025,41.66
256,Burty,46,4,709-908-0366,platinum,065302895,2204232e-5d09-493b-8aaa-322d43eb3061,false,11/8/2024,12.56
257,Donetta,64,12,748-282-1913,silver,102001017,04322f45-450b-4057-9a1c-60b11518f106,true,6/19/2025,12.06
258,Creigh,53,15,955-221-2372,silver,101110080,5e605fa6-7ce6-40d4-a124-88c0c1dfe35e,true,5/5/2025,7.31
259,Amelia,69,90,769-284-6699,platinum,075012683,e975df9d-9aa2-4923-8f25-cfbc8768b065,false,11/17/2024,78.69
260,Donovan,60,1,587-459-3061,gold,067013564,489638e7-0151-459e-9ccc-db02321934df,true,6/23/2025,92.38
261,Dallas,68,93,444-922-4198,gold,101108649,da06b134-0978-44bf-8c86-e4c3bde7d86e,false,6/28/2025,40.74
262,Joanne,4,95,424-488-8933,platinum,091300023,4e163746-9ed2-4b92-b7d1-7e07f636d8cb,false,7/28/2025,20.05
263,Pace,77,58,295-918-4962,platinum,043308620,fce3b406-4815-4e16-a8a2-0e920e14b54b,true,5/16/2025,44.34
264,Keane,80,37,160-822-5192,gold,111913798,21a1206d-96e0-4115-8e06-03cb8622c682,false,7/5/2025,39.6
265,Nicholas,10,38,870-916-7283,gold,091901011,57ed6f30-b5f8-4d35-a206-6a509e7357a1,true,9/19/2024,54.21
266,Maryellen,35,76,585-853-4541,silver,116312873,a0e0993d-1643-4f01-9412-8899f27a183c,false,3/18/2025,91.28
267,Laural,1,23,178-339-2513,gold,053110374,eecc90d2-4b77-4ef7-94c8-f199b894d29d,false,5/27/2025,40.45
268,Donalt,89,99,934-543-4680,gold,053202321,c811d136-8137-4b9a-8ae7-8344fdd974ae,false,6/19/2025,29.43
269,Starlin,30,96,620-272-9438,platinum,067014110,440a1e10-fde3-4196-8f2f-49b657878986,true,11/26/2024,71.79
270,Nataline,95,59,825-924-5758,bronze,051402220,cef1c74e-cfa4-48a3-8366-28b511fd78f9,true,10/18/2024,15.58
271,Teddie,8,77,952-707-9368,bronze,053100685,bacc529a-caa5-432d-9bce-64555ecf9b86,false,6/1/2025,64.67
272,Lester,16,73,698-595-3528,platinum,065401107,170bc438-e0c3-46c4-b6fa-c1615cb51713,false,6/8/2025,68.19
273,Dyane,6,12,300-310-4755,silver,104113628,1b4e9397-170d-4dfb-9369-4ea023304d6a,true,4/16/2025,22.92
274,Devin,32,13,219-299-1838,gold,113003389,378cc51a-7f39-4562-88df-b6b02a2244db,true,10/7/2024,64.58
275,Stirling,40,69,576-298-6706,bronze,067015724,cffb56ac-d42a-47da-9491-9e5288289602,true,10/27/2024,39.68
276,Anselm,23,66,468-540-4688,platinum,083913949,b073e8d2-d1f0-42ed-895d-a52bee279cd9,true,2/5/2025,87.7
277,Cecilla,86,84,654-438-7798,platinum,053111674,1608a118-576e-4eb2-8b69-55f6036907e1,false,4/21/2025,15.72
278,Rube,14,51,976-179-3531,bronze,102101496,c697303d-ed23-4479-878e-f1b1ba464d2b,false,5/22/2025,53.24
279,Sadie,94,15,115-810-1252,gold,011500010,76931675-5a3b-4e34-a7d2-24bf0f62e93d,true,6/17/2025,94.22
280,Carol,92,14,437-313-1636,silver,081914775,65fff535-9f7f-4dd9-aa25-b3ab34183d03,true,2/2/2025,72.74
281,Ophelie,50,22,743-319-6437,silver,211371421,cc21b3e8-9c3b-439d-a4d1-4df9fca57359,false,12/17/2024,70.07
282,Una,74,28,205-974-5236,gold,086500634,b7b15e1d-400b-4d8e-942a-0f6d76c94585,false,5/8/2025,86.28
283,Kory,72,8,548-703-4072,platinum,072408708,7ff9e065-2433-47b0-9b74-486b18184593,false,6/30/2025,26.03
284,Liana,87,7,786-950-0770,bronze,114905499,4307ef4d-29e5-4baa-a58c-61d601de2a27,false,12/31/2024,53.04
285,Maggee,25,26,758-669-3701,bronze,065505870,cea64985-2cd4-4ca9-b72f-fb338933543c,false,10/31/2024,84.52
286,Kelila,73,75,857-649-4903,bronze,071925635,48ae4271-9c55-48c4-a4dc-4f668e78902f,false,6/3/2025,34.7
287,Valencia,13,48,589-712-8226,platinum,114916705,8bf0150a-53cf-4b2f-8949-0bee4e3468b5,false,10/27/2024,78.53
288,Baxie,31,14,536-371-5645,bronze,111913756,81918fb9-7340-403e-b6f8-1d35c14d3f95,true,7/14/2025,91.17
289,Mano,52,52,360-860-4720,bronze,063102259,ee15d72a-28b3-41fc-b689-10224ecf9e8c,false,6/30/2025,46.98
290,Moria,22,41,617-987-2697,bronze,067013852,1e59bf99-f42f-4377-9199-74c5b482d72a,true,4/13/2025,90.26
291,Saidee,37,1,118-635-7519,gold,274970076,3a44a667-2a98-46ad-930f-224cef64dc23,false,11/6/2024,46.97
292,Hinda,3,73,547-148-0442,gold,031309314,f91247cb-e66e-4e05-b9a7-78635cde0275,false,8/10/2025,61.34
293,Trace,71,81,518-909-1892,gold,284272780,f22cb34c-59af-4890-81b6-4137b5b86cb9,false,2/24/2025,89.2
294,Clemence,64,47,935-721-7880,bronze,101103068,ef2c19b1-6e57-4be4-bd09-8b1c0ec9d966,false,8/23/2024,46.28
295,Vlad,91,73,521-636-6504,bronze,122106455,be4a0bed-5d9e-4194-9ef4-06ac9885ef6e,true,5/15/2025,62.87
296,Blinni,88,96,592-311-9890,silver,075918318,3e253912-467d-44be-b0ec-e83003b3d306,true,12/12/2024,37.92
297,Ricard,36,18,529-739-1222,platinum,121000358,913ba28f-cb4a-4161-afa2-42b7606cc10f,true,6/17/2025,10.97
298,Nollie,39,91,183-186-8714,bronze,071922476,042cbd9b-13bf-48c5-8917-1d6f0f8c9011,false,2/27/2025,49.72
299,Fey,28,6,859-341-0015,bronze,011101752,50ec5ff0-c4b0-43ba-9f73-df36a52d032c,false,4/19/2025,51.49
300,Melinda,80,89,575-818-8608,platinum,082906517,a8b0f422-033b-4e44-aa20-b42bd5b72057,false,4/20/2025,15.87
301,Dylan,65,100,914-634-0836,bronze,211371476,e3b3d648-ea7b-4cc3-95e2-04aa7636f96c,true,3/5/2025,9.11
302,Edithe,82,98,987-270-1742,platinum,101114031,dd23519e-e545-44b0-8759-7acbf1122db2,true,10/13/2024,68.31
303,Haley,15,92,110-337-3011,gold,241270110,fb717a3e-9a6d-41ad-8818-4d8076a6ec67,false,5/28/2025,58.24
304,Hyacinthie,97,68,200-598-6484,gold,075901273,90f20572-04c9-4c8d-95aa-8801de7c52b3,false,12/18/2024,93.76
305,Fidela,44,77,230-706-1126,bronze,107001805,90fb4912-4d99-42b4-aa49-2d20afa65ded,true,11/14/2024,87.68
306,Roberto,97,94,500-249-6994,gold,121141288,91e287dd-09b6-4cb4-94fd-0e9223dbe056,true,3/27/2025,50.59
307,Devin,10,92,320-866-5146,bronze,081227129,2ac594fd-03fc-4e6e-94c1-e81f093ef13b,true,12/12/2024,11.97
308,Kathlin,14,52,765-586-1555,silver,265272343,78663e9a-d001-4df0-abec-21de9afd245c,false,1/7/2025,73.67
309,Salim,85,71,889-453-6821,gold,123308553,e163765c-ac00-44d2-9926-c3a8238067ca,false,9/15/2024,27.54
310,Joycelin,86,41,240-714-7255,platinum,114900025,4ad0b039-0070-40f1-9496-8c00f82f949b,false,7/4/2025,87.35
311,Seward,19,87,579-173-8411,bronze,103101107,fca68cdf-d2e2-4279-8b33-337386f2d15b,true,3/20/2025,46.94
312,Gratiana,13,50,705-126-1276,platinum,101105558,4b1d15fd-156d-418b-88c7-c35b54c41673,true,2/24/2025,28.74
313,Otes,51,60,466-797-4265,bronze,091310987,e3011141-e7f3-4067-a700-04c4ec62a9bb,true,10/11/2024,7.22
314,Weber,70,65,779-282-1670,silver,101104151,591ee983-daf8-40d1-b03c-32c1d733cb84,true,5/29/2025,21.89
315,Eveline,42,88,718-967-9790,silver,272471438,e44c3c54-f801-4fa3-bcc5-2bb642c7302b,true,10/12/2024,98.75
316,Clarita,71,36,536-585-0721,silver,086504326,3bdc2f80-eb84-47eb-9d3f-897d5b0818d1,false,12/25/2024,67.04
317,Marcellus,22,31,252-741-3737,platinum,091401919,1c27272e-4dc1-434a-87c9-389ed1bce984,true,5/9/2025,2.37
318,Hyacinthie,72,87,312-352-6006,gold,101115098,76421866-3015-4e86-b2c3-deb3d5c85562,false,7/31/2025,2.54
319,Alexander,32,17,257-834-7346,bronze,084001915,367fba27-058a-4367-b5dd-6c4e385051dd,true,12/17/2024,4.29
320,Buck,79,47,160-665-8962,platinum,053103637,b2de85c3-7e02-4af8-84e9-8498724261b8,true,6/8/2025,49.23
321,Von,25,55,399-439-8446,platinum,113001077,d6976d9b-d1ac-482b-b964-2ee3d0df05cc,false,12/15/2024,49.41
322,Zola,74,18,148-831-2294,silver,072406768,667585f7-95ed-453c-be50-88a94a97d2f6,true,8/1/2025,66.35
323,Mordy,55,63,707-790-3373,bronze,054001550,a74ac4d7-8a01-4bcc-9ba8-e89c1cee1ecf,false,5/1/2025,99.53
324,Buddy,2,30,979-685-3482,gold,122037841,2a820775-5116-4938-833d-67d10727f18a,true,1/9/2025,83.47
325,Dido,74,30,784-724-3221,bronze,111903575,5bbb9ea5-ee96-42b3-95f7-4205e122cd68,false,9/13/2024,83.57
326,Shoshanna,89,64,119-352-4586,bronze,226070555,a2ee6e50-e374-4384-a35b-1d749f6e680d,true,9/7/2024,10.49
327,Rosemonde,53,52,166-227-5197,gold,253184472,726d95dc-dfd7-477a-aebe-ddc3e6722bcd,false,4/27/2025,50.34
328,Lemmie,30,60,904-447-4726,platinum,062203104,a24c378e-d5db-4823-a4f8-b6a7392fb5bd,false,10/26/2024,55.2
329,Nicolai,65,24,431-502-2589,platinum,065106680,74215d61-2723-425d-90f4-a28b9e957f47,false,6/5/2025,57.33
330,Gaston,24,64,826-358-0804,bronze,071004158,a3fbc8f6-baa4-4193-a469-e261f6b900ed,true,2/8/2025,80.05
331,Zorine,60,77,235-176-4057,platinum,053112233,2a749715-5091-4f16-a6c1-21d66ad8bf30,true,12/31/2024,64.83
332,Gerianna,82,79,563-882-8367,platinum,072401006,9d20e7ee-09ad-4bfc-919c-6826935c8c7f,false,8/8/2025,37.14
333,Parker,81,38,303-793-9917,platinum,211370846,9b130e7b-36c6-4de6-bc92-05c6d9f575b7,true,7/23/2025,79.14
334,Harland,65,64,372-426-9476,gold,103108605,de80f897-f469-48c2-887a-ea61b8d373ae,true,6/13/2025,97.37
335,Daren,90,5,758-240-0128,platinum,062104070,ab43febd-3faa-4cae-94b2-a7ecf0352590,true,1/10/2025,32.78
336,Doe,31,60,847-810-5963,platinum,063114548,f67cf417-7bc2-47ab-91a1-2bfe8efbf4f7,true,5/17/2025,24.54
337,Paloma,20,62,251-116-2071,silver,053112709,32d76f51-cffe-44c3-8028-61859df6ab3f,false,9/26/2024,40.29
338,Penelope,97,89,705-972-6914,silver,075903792,6e3c96d1-2ff9-48fc-8b11-e94a9c4a8b28,true,11/26/2024,57.83
339,Noemi,37,89,503-575-5347,platinum,111924473,30b1a78f-f16e-4460-a572-de9d58b71391,true,12/26/2024,1.18
340,Iseabal,34,48,654-505-9270,gold,065400894,63eaddcf-cc36-46a3-a76b-db454fd5ed06,false,6/18/2025,98.85
341,Vidovic,68,55,596-116-4037,bronze,082908573,ca42f9a5-ef36-40b8-93d8-281c9497a4d6,true,4/15/2025,86.14
342,Sanders,99,21,722-146-2039,bronze,072413036,12f5f7fd-5a88-4136-be4a-0b1632e3aea7,true,8/11/2025,27.49
343,Corry,57,95,902-399-3956,bronze,107002532,4f56f3e0-427f-4ed7-bcd6-ed75149109d3,false,10/11/2024,60.61
344,Theresita,81,27,634-283-9019,silver,071923666,38e24869-62da-4e8d-a759-3178033b9f25,false,4/6/2025,45.48
345,Kathryn,26,57,522-281-1337,gold,113125380,94d38b37-007d-4f8f-8f39-f674d3f68c4e,true,10/8/2024,26.67
346,Cami,94,37,846-670-0578,bronze,036002425,08ae5689-35e2-42b6-b5ac-0c4e652fa483,false,1/13/2025,49.94
347,Petra,49,34,766-518-7443,bronze,084003191,1d52dd39-1a0b-415c-87f7-821b590fee34,false,8/5/2025,19.4
348,Jaine,50,33,589-519-8368,gold,122240670,4b221319-0e7a-429a-8c85-9fad49815726,true,12/6/2024,97.11
349,Ernestine,89,65,146-853-6202,silver,072404786,68898dc2-2a4d-491d-bf25-80d4f859d26e,false,7/8/2025,43.87
350,Cori,93,2,738-767-4151,platinum,062101581,213f387c-2ae5-4e6c-93ee-aeba341c4468,false,3/2/2025,62.69
351,Adoree,100,44,883-773-6486,platinum,083908420,d3827e5f-4b2d-49d6-bed8-e88c837e8a00,true,7/9/2025,97.81
352,Taffy,92,58,620-785-7172,bronze,061119477,ea1161da-3c09-43d9-809a-b8b191fbd32b,true,10/20/2024,17.32
353,Jacquenette,99,52,951-659-9471,bronze,241070433,32f82deb-f0c0-4434-92ba-226f8c6dfcf1,true,12/6/2024,82.24
354,Ulrick,71,90,159-854-6936,platinum,322270521,76d5ff54-ff24-4646-b5f0-0c52a6d4970f,true,1/28/2025,80.89
355,Wes,96,60,918-800-1867,silver,031275998,99376488-4a76-4877-9308-1d801dcd58a0,true,4/29/2025,59.27
356,Corine,60,1,388-950-9839,silver,267083763,77f2ed1f-5062-4b9c-8b4d-764bd8582f6e,true,2/22/2025,36.87
357,Carlotta,5,28,344-990-5137,platinum,101000695,071f37b3-5ce0-4bec-b914-eea0a15af52c,false,8/22/2024,14.45
358,Ludovico,39,28,597-347-4235,silver,011304517,3103520a-3b45-44f6-9456-d26a2ef123ac,true,12/29/2024,28.48
359,Gaile,4,62,929-771-1151,platinum,114919676,c88845a3-1783-421d-9f82-78167d862926,true,10/15/2024,43.1
360,Curtice,53,91,408-298-7815,platinum,073907897,23362426-b401-4c30-afd8-a956ba6f2436,false,12/23/2024,10.18
361,Stephana,16,5,532-432-6852,platinum,062203735,9f77b467-a090-4361-b8be-92b773089344,false,12/14/2024,55.13
362,Sonni,97,28,156-830-7869,silver,073900739,7e75fe0a-eacf-422d-a503-d2db8bd42ce0,false,5/3/2025,53.17
363,Ignacio,47,20,867-930-9832,gold,053101121,16e82ef9-a272-4301-b2b7-0d3222aac6e1,true,5/30/2025,95.83
364,Iona,26,57,310-564-7378,bronze,073921323,179f98a2-77fa-40b0-bc92-ef7c2903d276,false,4/23/2025,70.87
365,Francisco,55,41,819-179-2230,gold,121143697,2eb5ca17-91c0-4872-9e00-9961ed24dc18,true,1/23/2025,57.96
366,Hasheem,64,33,413-992-8800,platinum,063106145,40257630-b78d-49f5-a274-70efa3fa93c8,false,9/14/2024,83.29
367,Rodney,94,19,181-726-3316,silver,107007469,648b0ae3-161f-4a9f-b48a-28c34c3ea20e,true,8/31/2024,54.05
368,Juan,56,47,106-950-4246,bronze,242071004,b3ad911f-80f4-4485-b777-baa8dece0116,true,9/24/2024,32.26
369,Jeff,41,52,778-314-0879,platinum,271172987,7025049c-d5ff-4f90-858f-6a718bf4d0d1,true,7/13/2025,26.57
370,Myrta,32,6,268-813-8518,bronze,111313356,1e22b2f2-44ee-4822-a72e-670d8e6cedae,false,12/27/2024,80.64
371,Hewitt,94,42,143-652-3666,silver,072410013,d38ab532-4cdb-4eab-ac10-a950cfbd57d5,false,11/25/2024,53.45
372,Ichabod,93,25,664-358-8873,platinum,274970076,6331af84-3693-47b3-93cd-8a9bf8dbc147,false,7/16/2025,22.45
373,Roxi,70,18,816-264-6970,bronze,091916831,928c0792-f491-4518-938d-b1179a23b4fb,true,3/18/2025,65.58
374,Livvy,31,90,274-309-1600,silver,271971560,f6377783-2ca8-4988-90a3-8c57591d469a,true,11/17/2024,37.0
375,Berrie,51,4,994-845-9605,platinum,021004823,e3d4f835-19d7-4654-9681-eb6ab31bcf7d,false,7/2/2025,31.4
376,Ulrika,71,59,419-233-5746,platinum,221380114,515e4be0-9a86-4129-b159-bedb6761dea3,true,12/11/2024,88.57
377,Jenni,30,52,738-714-7035,bronze,075912233,e6d16742-36cb-4b6f-a347-6a45183639f4,false,3/4/2025,93.07
378,Derward,25,93,685-261-1079,platinum,271171674,925153b3-0896-4f59-827c-1c775e0a52d8,false,12/11/2024,29.6
379,Morissa,81,25,674-843-5951,gold,101105817,fcb28f13-fb41-4936-91c4-c9c662777f39,true,6/26/2025,97.11
380,Uri,17,35,799-942-1135,gold,111300880,193ad426-3dfc-413f-921b-1c89200f558f,true,6/9/2025,49.13
381,Nan,9,43,203-915-4174,platinum,063115123,35aab75a-0ea2-441e-931f-18e14fcee857,true,5/22/2025,43.14
382,Zena,57,96,750-246-6062,gold,071905095,f7ddf31f-fb9b-4419-8ec8-4982289ef082,false,6/13/2025,10.65
383,Maridel,77,55,603-362-1278,bronze,063100277,a30a65d4-9ae5-4ee5-8a23-f9b91cbd299e,false,5/4/2025,30.43
384,Mallissa,97,4,150-329-9412,platinum,101215451,6b4e968b-3894-40ed-ad64-2a2b59c375b2,true,11/17/2024,27.03
385,Horten,73,96,349-147-0812,platinum,111916423,c742e92c-752b-434e-b005-9b5908f37944,true,12/23/2024,13.46
386,Lemuel,100,27,120-888-1565,silver,072403473,f3a2db54-d962-4938-a9ea-ef12c0f3585a,false,10/1/2024,69.42
387,Robin,45,95,499-170-3338,platinum,101102496,4baff376-1be0-43ce-a79c-70f0868bbf38,false,9/20/2024,34.64
388,Jaquelin,15,61,899-195-8760,silver,083907324,422cf4cf-c5b5-471c-830e-26cea0639e98,false,12/19/2024,74.44
389,Umberto,2,34,401-446-7837,platinum,054000030,9beabc01-ed05-426a-bb98-b8c68875a1b8,true,2/12/2025,23.87
390,Stacee,7,84,713-557-1214,platinum,053112110,548ad988-7921-44b9-ba27-c5f67bb3a91d,true,8/20/2024,23.14
391,Kristan,90,100,806-535-1033,gold,253170253,e926aee4-d052-4ea9-9f52-88ae8f30fc52,true,10/18/2024,43.37
392,Davin,64,75,578-737-9650,gold,122105553,725ae613-fc43-4ec2-87a2-45d4937e9a9e,true,4/28/2025,34.93
393,Stanislas,20,20,543-829-7319,silver,103912723,1a234fae-6885-4dcb-9722-a1f3434d755d,true,5/9/2025,86.28
394,Jacklin,67,36,162-110-7829,gold,104901911,ecf7006f-accd-4572-aadc-a02e7c4111bc,true,1/16/2025,45.16
395,Alvan,71,99,997-128-7128,platinum,241270291,93618991-b885-4a3b-ae67-73ae7b831da9,false,8/4/2025,94.22
396,Magdalen,50,34,632-179-6646,bronze,111302587,2b85108f-4f98-45d5-b1cd-1b54bdc27908,true,9/24/2024,91.13
397,Lorry,6,95,290-269-5722,silver,064204703,2ab7dc0e-8fc9-4b28-b1e6-f533cd96334c,true,9/6/2024,27.81
398,Nesta,34,48,139-117-6121,platinum,063112249,f5797fb9-794d-471e-8926-6771e86902d2,false,6/20/2025,94.73
399,Constanta,3,68,985-371-4962,silver,282970204,1fcc76fb-7248-40b6-b5ee-90d6bd236a61,false,5/18/2025,79.66
400,Ax,84,62,673-457-5420,gold,211872027,894b7989-0440-421f-a6cd-01dfcef514ff,false,8/9/2025,33.63
401,Carmon,3,43,662-482-8044,gold,041000014,09b6d04f-0d96-4dff-bf2d-ef907ed32d9a,true,1/10/2025,1.18
402,George,78,43,967-476-0881,silver,061212866,aa861fc8-dace-4762-bd7f-d224bc4b2676,false,11/22/2024,29.28
403,Delcina,87,52,447-601-9058,silver,113118342,3e36f035-a5ca-4f0c-8f20-5ee46f53d46d,true,3/19/2025,5.36
404,Langsdon,60,8,300-237-2215,platinum,071909062,84fc3ce0-b0d6-4d6d-8dc5-bd8038a62688,false,5/4/2025,72.65
405,Mar,20,33,468-976-9732,gold,113105465,3eaba933-5b3e-46bd-a91a-d90a92c73e8b,false,3/26/2025,65.63
406,Cassandra,100,94,129-108-3702,bronze,323270436,eee82921-e2b1-4250-81db-c496e1585612,true,4/17/2025,54.56
407,Jesus,28,21,532-570-3520,gold,111924800,03cba9c9-26c9-4aab-9141-9625a30ff707,true,12/28/2024,42.75
408,Pasquale,65,37,497-779-3930,bronze,021908288,53cdaacf-1ddd-4e89-82d0-bf710a2f8e9e,false,1/11/2025,69.08
409,Cordy,31,68,444-960-2856,silver,111302587,af8e1fa7-3192-4544-970f-4160c6bf6411,false,6/8/2025,74.91
410,Ardyth,29,3,364-776-9650,platinum,067001699,874ab56a-806a-465b-88d0-29329020629a,true,7/16/2025,6.65
411,Leonanie,39,33,543-404-2738,bronze,125104865,db20967b-c14b-424a-9f67-5852fcb5db49,false,7/31/2025,48.36
412,Abeu,37,97,572-512-4790,silver,121000358,da7c928b-c7bd-4620-99f2-6df0fc96f0ed,true,1/11/2025,62.21
413,Cass,7,13,254-740-1316,gold,221271456,a7acb968-18ea-4616-85dc-80f5601c5465,true,12/23/2024,62.37
414,Jordon,94,10,155-532-5629,gold,021101108,f2781913-512b-4cd2-abcb-73002f3f0f1f,true,7/11/2025,16.86
415,Clair,87,42,741-916-8197,gold,051400507,d43351f5-7fab-4b57-ac7d-0724d3a9df77,false,8/5/2025,17.45
416,Clarinda,73,34,967-558-6830,gold,075910798,147a327c-a54c-4374-ba34-50bf5c6fc6b8,true,12/18/2024,65.77
417,Vally,32,5,922-890-3409,silver,081001387,01480c5a-084c-4800-8986-437b72a55da3,true,5/9/2025,89.92
418,Lucinda,74,59,676-964-2752,bronze,041202812,a7ecca34-0935-4d60-8503-ebaacdba76b4,true,4/24/2025,83.34
419,Jessamyn,12,89,151-658-0716,gold,114909165,8528dc28-ab3d-432e-a6c2-0f4ef23fc050,false,4/27/2025,95.94
420,Lisette,63,14,478-330-3148,platinum,271250647,49b2a3c2-c5b1-46c3-b924-7c5c9a1bb35f,false,5/27/2025,31.09
421,Cari,44,98,362-236-7747,silver,253173661,242fef90-89e0-41ba-82b9-c5786fb464d9,true,2/14/2025,42.13
422,Taite,79,23,800-361-2513,platinum,211384162,a83e41ec-a5ff-4dcf-bdd3-9d1db2f8a330,true,1/9/2025,3.61
